ask_code,topic,en,ko,ru,zh,mn,zh_py,note
vm363,23,find,발견하다/찾다,найти,发现/找着,олж нээх,fa1 xian4 /zhao3 zhao2,
vm364,23,get lost,잃다(길을+),"терять дорогу, заблудиться",迷路,төөрөх,mi2 lu4,
vm366,23,use,쓰다/사용하다,использовать,使用,хэрэглэх,shi3 yong4,
vm367,23,play,놀다,играть,玩儿,наадах,wan2r,
vm377,23,help,돕다,помогать,帮助/帮忙,туслах,bang1 zhu4,
vm381,23,get well,낫다(治),выздоравливать,痊愈/病好了,эдгэх,quan2 yu4/bing4 hao3 le,
vm383,23,wait,기다리다,ждать,等候,хүлээх,deng3 hou4,
vm384,23,drive,몰다(소 떼를+),гнать (стадо коров),赶(赶牛群的+),туух,gan3 (gan3 niu2 qun2 de +),
vm388,23,steal,훔치다,красть,偷(偷东西的+),хулгайлах,tou1 (tou1 dong1 xi de +),
vm393,23,believe,믿다,верить,相信,итгэх,xiang1 xin4,
vm395,23,forget,잊어버리다,забывать,忘记,мартах,wang4 ji4,
vm400,23,know how to,~할 줄 알다,уметь,会(我会说英语的+),чадах,hui4 (wo3 hui4 shuo1 ying1 yu3 de +),
vm406,23,climb,오르다(산에+),подниматься (в гору),上(上山的+),ууланд гарах,shang4 (shang4 shan1 de +),
vm407,23,climb down,하산하다,спускаться с горы,下(下山的+),уулнаас уруудах,xia4 (xia4 shan1 de +),
vm408,23,climb,오르다(말에+),сесть (на лошадь),上(上马的+),унах,shang4 (shang4 ma3 de +),
vm425,23,boil(vi),끓다(물이+),кипеть,开(水开了的+),буцлах,kai1 (shui3 kai1 le de +),
vm426,23,bear,낳다(아이를+),родить (ребёнка),生(生孩子的+),төрүүлэх,sheng1 (sheng1 hai2 zi de +),
vm427,23,breed,낳다(새끼를+),родить (детёныша),下(下牛犊的+),зулзагалах,xia4 (xia4 niu2 du2 de +),
vm428,23,be born,태어나다,родиться,出生,төрөх,chu1 sheng1,
vm429,23,live,살다,жить,活(活着的+),амьдрах,huo2 (huo2 zhe de +),
vm430,23,die,죽다,умирать,死(死去的+),үхэх,si3 (si3 qu4 de +),
vm434,23,yoke horse,메우다(마구를+),запрягать,套(套马的+),буулгах,tao4 (tao4 ma3 de +),
vm436,23,castrate,거세하다,кастрировать,骟(骟马的+),агтлах,shan4 (shan4 ma3 de +),
vm437,23,milk a cow,짜다(우유를+),доить,挤(挤牛奶的+),саах,ji3 (ji3 niu2 nai3 de +),
vm447,23,make,만들다(물건을+),делать (напр. стол),做(做东西的+),хийх,zuo4 (zuo4 dong1 xi de+),
vm472,23,peel,까다(껍질을+),"очищать(кожуру), чистить (фрукты)",剥(剥皮的+),хальслах,bao1 (bao1 pi2 de +),
vm477,23,"set, put",놓다,класть,放/搁(放下的+),тавих,fang4 /ge1 (fang4 xia de +),
vm478,23,make stand,세우다,ставить,立起来,босгох,li4 qi3 lai2,
vm481,23,"collect, gather",모으다,собирать (напр. марки),收集,цуглуулах,shou1 ji2,
vm488,23,pray,빌다,молиться,祈求,залбирах,qi3 qiu2,
vm516,23,want,싶다(나는 먹고+),Я хочу есть.,想(我想吃饭的+),Би (хоол) идмээр байна.,xiang3 (wo3 xiang3 chi1 fan4 de +),
vm563,23,wound,다치다(발을+),ранить (ногу),伤(受伤的+),гэмтэх,shang1(shou4 shang1 de +),
vm586,23,point out,가리키다,указывать,指(指点的+),заах,zhi3 (zhi3 dian3 de +),
vm609,23,have,가지다,иметь,拿(拿东西的+),авах,na2 (na2 dong1 xi de +),
vs046,24,suddenly,갑자기,вдруг,突然,гэнэт,tu1 ran2,
vs055,24,slowly,천천히,медленно,慢慢儿,удаан,man4 man4r,
vs056,24,quickly,빨리,быстро,快(快点儿的+),хурдан,kuai4 (kuai4 dian3r de +),
vs058,24,always,항상/언제나,всегда,常常/经常,ямагт,chang2 chang2 /jing1 chang2,
vs060,24,"too, also",역시/또한,"тоже, также",也(我也是中国人的+),бас,ye3 (wo3 ye3 shi4 zhong1 guo2 ren2 de +),
vs079,24,Don't (eat).,~지 마라(먹지+),Не ешь.,別(~做)(别吃了的+),битгий,bie2 (bie2 chi1 le de +),
